date,member,rideable,count,duration
2021-01-23,casual,classic_bike,394,460424.0
2021-01-27,member,electric_bike,659,450984.0
2021-01-27,member,classic_bike,1351,1170556.0
2021-01-27,casual,classic_bike,117,150775.0
2021-01-27,casual,electric_bike,118,84226.0
2021-01-27,casual,docked_bike,11,9353.0
2021-01-21,member,electric_bike,1076,789388.0
2021-01-21,member,classic_bike,2439,1779275.0
2021-01-21,casual,electric_bike,310,271524.0
2021-01-21,casual,classic_bike,322,490158.0
2021-01-21,casual,docked_bike,52,120122.0
2021-01-07,member,electric_bike,1035,737455.0
2021-01-07,member,classic_bike,2097,1546581.0
2021-01-07,casual,electric_bike,344,280439.0
2021-01-07,casual,classic_bike,328,350102.0
2021-01-07,casual,docked_bike,75,170822.0
2021-01-09,casual,electric_bike,447,518038.0
2021-01-09,casual,classic_bike,744,1155999.0
2021-01-09,casual,docked_bike,211,805756.0
2021-01-09,member,electric_bike,1180,895057.0
2021-01-09,member,classic_bike,2377,2027308.0
2021-01-04,member,electric_bike,843,559845.0
2021-01-04,member,classic_bike,1837,1738793.0
2021-01-04,casual,classic_bike,226,235959.0
2021-01-04,casual,docked_bike,47,114067.0
2021-01-04,casual,electric_bike,256,201766.0
2021-01-14,member,electric_bike,980,641708.0
2021-01-14,member,classic_bike,2063,1409276.0
2021-01-14,casual,classic_bike,240,325920.0
2021-01-14,casual,electric_bike,256,227216.0
2021-01-14,casual,docked_bike,77,144416.0
2021-01-24,member,classic_bike,1544,1221981.0
2021-01-24,member,electric_bike,761,569120.0
2021-01-24,casual,classic_bike,311,478205.0
2021-01-24,casual,electric_bike,308,273602.0
2021-01-24,casual,docked_bike,92,255738.0
2021-01-22,member,electric_bike,893,575107.0
2021-01-22,member,classic_bike,1744,1163893.0
2021-01-22,casual,classic_bike,231,322677.0
2021-01-22,casual,electric_bike,223,147752.0
2021-01-22,casual,docked_bike,39,56171.0
2021-01-05,member,classic_bike,2192,1606692.0
2021-01-05,member,electric_bike,1009,690401.0
2021-01-05,casual,docked_bike,89,258005.0
2021-01-05,casual,classic_bike,294,320929.0
2021-01-05,casual,electric_bike,259,235303.0
2021-01-30,member,classic_bike,1191,955070.0
2021-01-30,member,electric_bike,635,482162.0
